General Rank,US News Ranking,F1 Slots Ranking,Regional Ranking,University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
,,139,34,Seton Hill University,Greensburg,Pennsylvania,60% to 69%,Average,Private,Regional Universities
,,150,36,La Salle University,Philadelphia,Pennsylvania,60% to 69%,Average,Private,Regional Universities
,,157,39,Arcadia  University,Glenside,Pennsylvania,60% to 69%,Average,Private,Regional Universities
,,167,44,Marywood University,Scranton,Pennsylvania,60% to 69%,Average,Private,Regional Universities
,,182,55,Merchhurst University,Erie,Pennsylvania,60% to 69%,Average,Private,Regional Universities
,,187,55,West Chester University of Pennsylvania,West Chester,Pennsylvania,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Indiana  University of Pennsylvania,Indiana,Pennsylvania,50% to 59%,Below Average,Public,National Universities
,,208,62,Waynesburg University,Waynesburg,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,216,62,King's College,Wilkes-Barre,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,235,70,Carlow  University,Pittsburgh,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,244,73,DeSales  University,Center Valley,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,246,73,Geneva  College,Beaver Falls,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,263,82,Slippery Rock University of Pennsylvania,Slippery Rock,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,275,85,Point Park University,Pittsburgh,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,280,85,Cedar Crest College,Allentown,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,292,90,York College of Pennsylvania,York,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,313,97,Shippensburg University of Pennsylvania,Shippensburg,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,318,97,Alvernia  University,Reading,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,331,103,Millersville University of Pennsylvania,Millersville,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,336,103,Eastern University,St. Davids,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,362,114,Lock Haven University of Pennsylvania,Lock Haven,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,367,114,Clarion University of Pennsylvania,Clarion,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,382,119,Bloomsburg University of Pennsylvania,Bloomsburg,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,386,123,Chestnut  Hill College,Philadelphia,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,389,123,Gwynedd  Mercy University,Gwynedd  Valley,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,395,126,Kutztown  University of Pennsylvania,Kutztown,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,405,126,Delaware  Valley University,Doylestown,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Wilson College,Chambersburg,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,Cabrini University,Radnor,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Cairn University,Langhorne,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,California  University of Pennsylvania,California,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,East Stroudsburg University,East Stroudsburg,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Edinboro University of Pennsylvania,Edinboro,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,Harrisburg University of Science  and Tech,Harrisburg,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Holy Family University,Philadelphia,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Lancaster  Bible College,Lancaster,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,La Roche University,Pittsburgh,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Lincoln University (PA),Lincoln University,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Neumann  University,Aston,Pennsylvania,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Rosemont College,Rosemont,Pennsylvania,50% to 59%,Below Average,Public,Regional Universities
288,288,288,-,University of Puerto Rico--Rio  Piedras,Rio Piedras,Puerto Rico,60% to 69%,Average,Public,National Universities
19,14,16,-,Brown University,Providence,Rhode Island,90% to 99%,Excellent,Private,National Universities
,,25,1,Providence College,Providence,Rhode Island,90% to 99%,Excellent,Private,Regional Universities
,,43,7,Bryant University,Smithfield,Rhode Island,80% to 89%,Very Good,Private,Regional Universities
,,96,23,Salve Regina University,Newport,Rhode Island,70% to 79%,Good,Private,Regional Universities
,,106,27,Roger Williams  University,Bristol,Rhode Island,60% to 69%,Average,Private,Regional Universities
,,308,97,Johnson & Wales University,Providence,Rhode Island,50% to 59%,Below Average,Private,Regional Universities
,,391,123,Rhode Island College,Providence,Rhode Island,50% to 59%,Below Average,Public,Regional Universities
162,162,162,-,University of Rhode Island,Kingston,Rhode Island,70% to 79%,Good,Public,National Universities
,,28,2,The Citadel Military College,Charleston,South Carolina,90% to 99%,Excellent,Private,Regional Universities
,,49,9,College of Charleston,Charleston,South Carolina,80% to 89%,Very Good,Private,Regional Universities
75,75,75,-,Clemson University,Clemson,South Carolina,80% to 89%,Very Good,Private,National Universities
117,117,117,-,University of South Carolina,Columbia,South Carolina,80% to 89%,Very Good,Public,National Universities
,,52,10,Augustana University,Sioux Falls,South Dakota,80% to 89%,Very Good,Private,Regional Universities
,,264,79,Northern  State University,Aberdeen,South Dakota,60% to 69%,Average,Public,Regional Universities
,,268,82,Dakota State University,Madison,South Dakota,60% to 69%,Average,Public,Regional Universities
,,278,82,University of Sioux Falls,Sioux Falls,South Dakota,60% to 69%,Average,Private,Regional Universities
,,351,108,Mount Marty University,Yankton,South Dakota,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Black Hills State University,Spearfish,South Dakota,50% to 59%,Below Average,Public,Regional Universities
239,239,239,-,University of South Dakota,Vermillion,South Dakota,60% to 69%,Average,Public,National Universities
288,288,288,-,South Dakota State University,Brookings,South Dakota,60% to 69%,Average,Public,National Universities
28,14,21,-,Vanderbilt University,Nashville,Tennessee,90% to 99%,Excellent,Private,National Universities
103,103,103,-,University of Tennessee,Knoxville,Tennessee,80% to 89%,Very Good,Public,National Universities
,,58,12,Milligan University,Milligan,Tennessee,70% to 79%,Good,Private,Regional Universities
162,162,162,-,Belmont  University,Nashville,Tennessee,70% to 79%,Good,Private,National Universities
187,187,187,-,Union University,Jackson,Tennessee,70% to 79%,Good,Public,National Universities
213,213,213,-,Lipscomb  University,Nashville,Tennessee,60% to 69%,Average,Private,National Universities
249,249,249,-,Lincoln Memorial  University,Harrogate,Tennessee,60% to 69%,Average,Private,National Universities
249,249,249,-,University of Memphis,Memphis,Tennessee,60% to 69%,Average,Private,National Universities
277,277,277,-,Tennessee Tech University,Cookeville,Tennessee,60% to 69%,Average,Public,National Universities
288,288,288,-,East Tennessee State University,Johnson City,Tennessee,60% to 69%,Average,Public,National Universities
288,288,288,-,Middle Tennessee State University,Murfreesboro,Tennessee,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,Tennessee State University,Nashville,Tennessee,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Trevecca  Nazarene  University,Nashville,Tennessee,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of Tennessee--Chattanooga,Chattanooga,Tennessee,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Carson-Newman University,Jefferson  City,Tennessee,50% to 59%,Below Average,Private,National Universities
23,17,20,-,Rice University,Houston,Texas,90% to 99%,Excellent,Private,National Universities
,,25,1,Trinity University,San Antonio,Texas,90% to 99%,Excellent,Private,Regional Universities
29,38,33,-,University of Texas at Austin,Austin,Texas,90% to 99%,Excellent,Public,National Universities
,,40,6,University of Dallas,Irving,Texas,80% to 89%,Very Good,Private,Regional Universities
,,49,9,St. Edward's  University,Austin,Texas,80% to 89%,Very Good,Private,Regional Universities
,,55,10,St. Mary's University of San Antonio,San Antonio,Texas,80% to 89%,Very Good,Private,Regional Universities
64,68,66,-,Texas A&M University,Many Locations,Texas,80% to 89%,Very Good,Public,National Universities
75,75,75,-,Baylor University,Waco,Texas,80% to 89%,Very Good,Private,National Universities
83,83,83,-,Texas Christian University,Fort Worth,Texas,80% to 89%,Very Good,Private,National Universities
,,70,16,Abilene  Christian University,Abilene,Texas,70% to 79%,Good,Private,Regional Universities
,,85,20,University of St. Thomas  (TX),Houston,Texas,70% to 79%,Good,Private,Regional Universities
83,136,109,-,University of Texas--Dallas,Dallas,Texas,70% to 79%,Good,Public,National Universities
,,117,30,LeTourneau University,Longview,Texas,70% to 79%,Good,Private,Regional Universities
66,179,122,-,University of Houston,Houston,Texas,70% to 79%,Good,Private,National Universities
,,153,41,Hardin-Simmons University,Abilene,Texas,70% to 79%,Good,Private,Regional Universities
,,155,41,University of Mary Hardin-Baylor,Belton,Texas,70% to 79%,Good,Private,Regional Universities
,,,120,University of Houston--Clear Lake,Houston,Texas,70% to 79%,Good,Private,Regional Universities
,,208,61,Houston Baptist University,Houston,Texas,60% to 69%,Average,Private,Regional Universities
213,213,213,-,Texas Tech University,Lubbock,Texas,60% to 69%,Average,Public,National Universities
,,217,64,Texas A&M International University,Laredo,Texas,60% to 69%,Average,Public,Regional Universities
,,219,64,University of Texas of the Permian Basin,Odessa,Texas,60% to 69%,Average,Public,Regional Universities
,,238,71,Lubbock Christian University,Lubbock,Texas,60% to 69%,Average,Private,Regional Universities
,,240,71,Texas A&M University--Texarkana,Texarkana,Texas,60% to 69%,Average,Public,Regional Universities
,,248,71,West Texas A&M University,Canyon,Texas,60% to 69%,Average,Public,Regional Universities
249,249,249,-,Sam Houston State University,Huntsville,Texas,60% to 69%,Average,Private,National Universities
,,256,77,Midwestern State University,Wichita  Falls,Texas,60% to 69%,Average,Public,Regional Universities
,,258,77,Tarleton State University,Stephenville,Texas,60% to 69%,Average,Public,Regional Universities
263,263,263,-,University of the Incarnate  Word,San Antonio,Texas,60% to 69%,Average,Private,National Universities
,,271,82,University of North Texas at Dallas,Dallas,Texas,60% to 69%,Average,Public,Regional Universities
277,277,277,-,University of North Texas,Denton,Texas,60% to 69%,Average,Public,National Universities
288,288,288,-,Dallas Baptist University,Dallas,Texas,60% to 69%,Average,Private,National Universities
288,288,288,-,University of Texas at Arlington,Arlington,Texas,60% to 69%,Average,Public,National Universities
,,289,88,University of Houston--Downtown,Houston,Texas,60% to 69%,Average,Private,Regional Universities
,,298,92,Angelo State University,San Angelo,Texas,60% to 69%,Average,Public,Regional Universities
299-391,299-391,299-391,-,Our Lady of the Lake University,San Antonio,Texas,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Texas Wesleyan  University,Fort Worth,Texas,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Texas Woman's  University,Denton,Texas,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Texas A&M University--Commerce,Commerce,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas A&M University--Corpus Christi,Corpus Christi,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas A&M University--Kingsville,Kingsville,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas Southern  University,Houston,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Texas State University,San Marcos,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas at San Antonio,San Antonio,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas at Tyler,Tyler,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas--El  Paso,El Paso,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Texas--Rio  Grande Valley,Edinburg,Texas,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Lamar University,Beaumont,Texas,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Stephen F. Austin State University,Nacogdoches,Texas,50% to 59%,Below Average,Public,National Universities
,,,94-122,Concordia  University Texas,Austin,Texas,50% to 59%,Below Average,Private,Regional Universities
,,,94-122,Prairie View A&M University,Prairie View,Texas,50% to 59%,Below Average,Public,Regional Universities
,,,94-122,Southwestern Assemblies of God Universi,Waxahachie,Texas,50% to 59%,Below Average,Private,Regional Universities
,,,94-122,Sul Ross State University,Alpine,Texas,50% to 59%,Below Average,Public,Regional Universities
,,,94-122,University of Houston--Victoria,Victoria,Texas,50% to 59%,Below Average,Private,Regional Universities
,,,94-122,Wayland Baptist University,Plainview,Texas,50% to 59%,Below Average,Private,Regional Universities
,,,Unranked,Texas A&M University--San Antonio,San Antonio,Texas,50% to 59%,Below Average,Public,Regional Universities
79,79,79,-,Brigham  Young University--Provo,Provo,Utah,80% to 89%,Very Good,Private,National Universities
87,99,93,-,University of Utah,Salt Lake City,Utah,80% to 89%,Very Good,Public,National Universities
,,76,18,Westminster College (UT),Salt Lake City,Utah,70% to 79%,Good,Private,Regional Universities
,,228,67,Southern  Utah University,Cedar City,Utah,60% to 69%,Average,Public,Regional Universities
249,249,249,-,Utah State University,Logan,Utah,60% to 69%,Average,Public,National Universities
,,263,77,Weber State University,Ogden,Utah,60% to 69%,Average,Public,Regional Universities
,,,94-122,Utah Valley University,Orem,Utah,50% to 59%,Below Average,Private,Regional Universities
117,117,117,-,University of Vermont,Burlington,Vermont,80% to 89%,Very Good,Public,National Universities
,,194,58,Norwich University,Northfield,Vermont,60% to 69%,Average,Private,Regional Universities
,,211,62,Champlain College,Burlington,Vermont,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Northern  Vermont  University,Johnson,Vermont,50% to 59%,Below Average,Private,Regional Universities
,,,Unranked,Goddard College,Plainfield,Vermont,50% to 59%,Below Average,Private,Regional Universities
,,31,3,James Madison University,Harrisbourg,Virginia,90% to 99%,Excellent,Private,Regional Universities
40,25,32,-,University of Virginia,Charlottesville,Virginia,90% to 99%,Excellent,Public,National Universities
,,43,7,Christopher Newport  University,Newport  News,Virginia,80% to 89%,Very Good,Private,Regional Universities
73,73,73,-,Virginia  Polytechnic Institute,Virginia,Virginia,80% to 89%,Very Good,Public,National Universities
89,148,118,-,George Mason University,Fairfax,Virginia,70% to 79%,Good,Private,National Universities
172,172,172,-,Virginia  Commonwealth University,Richmond,Virginia,70% to 79%,Good,Public,National Universities
202,202,202,-,Hampton  University,Hampton,Virginia,60% to 69%,Average,Private,National Universities
263,263,263,-,Old Dominion  University,Norfolk,Virginia,60% to 69%,Average,Private,National Universities
263,263,263,-,Shenandoah University,Winchester,Virginia,60% to 69%,Average,Private,National Universities
277,277,277,-,Regent University,Virginia  Beach,Virginia,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Liberty University,Lynchburg,Virginia,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Mary Baldwin University,Staunton,Virginia,50% to 59%,Below Average,Private,National Universities
,,34,4,Whitworth University,Spokane,Washington DC,90% to 99%,Excellent,Private,Regional Universities
24,59,41,-,University of Washington,Seattle,Washington DC,80% to 89%,Very Good,Public,National Universities
79,79,79,-,Gonzaga  University,Spokane,Washington DC,80% to 89%,Very Good,Private,National Universities
,,67,14,Pacific Lutheran  University,Tacoma,Washington DC,70% to 79%,Good,Private,Regional Universities
,,73,16,Western  Washington University,Bellingham,Washington DC,70% to 79%,Good,Public,Regional Universities
,,106,27,University of Washington--Bothell,Bothell,Washington DC,70% to 79%,Good,Public,Regional Universities
,,120,30,University of Washington--Tacoma,Tacoma,Washington DC,70% to 79%,Good,Public,Regional Universities
127,127,127,-,Seattle University,Seattle,Washington DC,70% to 79%,Good,Private,National Universities
,,130,35,Saint Martin's  University,Lacey,Washington DC,70% to 79%,Good,Private,Regional Universities
,,163,46,Central  Washington University,Ellensburg,Washington DC,70% to 79%,Good,Public,Regional Universities
179,179,179,-,Washington State University,Pullman,Washington DC,70% to 79%,Good,Public,National Universities
,,172,50,The Evergreen State College,Olympia,Washington DC,60% to 69%,Average,Public,Regional Universities
,,190,55,Northwest University,Kirkland,Washington DC,60% to 69%,Average,Private,Regional Universities
,,202,60,Eastern Washington University,Cheney,Washington DC,60% to 69%,Average,Public,Regional Universities
227,227,227,-,Seattle Pacific University,Seattle,Washington DC,60% to 69%,Average,Private,National Universities
,,261,77,Walla Walla University,College Place,Washington DC,60% to 69%,Average,Private,Regional Universities
,,,94-122,Heritage  University,Toppenish,Washington DC,50% to 59%,Below Average,Private,Regional Universities
,,,Unranked,City University of Seattle,Seattle,Washington DC,50% to 59%,Below Average,Private,Regional Universities
45,63,54,-,George Washington University,Washington DC,Washington DC,80% to 89%,Very Good,Private,National Universities
,,,131-171,Trinity Washington University,Washington DC,Washington DC,50% to 59%,Below Average,Private,Regional Universities
26,23,49,-,Georgetown University,Washington DC,Washington DC,90% to 99%,Excellent,Private,National Universities
79,79,79,-,American  University,Washington DC,Washington DC,80% to 89%,Very Good,Private,National Universities
83,83,83,-,Howard University,Washington DC,Washington DC,80% to 89%,Very Good,Private,National Universities
127,127,127,-,Gallaudet  University,Washington,Washington DC,70% to 79%,Good,Private,National Universities
136,136,136,-,The Catholic University of America,Washington DC,Washington DC,70% to 79%,Good,Private,National Universities
,,,Unranked,University of the District of Columbia,Washington DC,Washington DC,50% to 59%,Below Average,Private,Regional Universities
,,,Unranked,Strayer University,Washington DC,Washington DC,50% to 59%,Below Average,Private,Regional Universities
249,249,249,-,West Virginia  University,Morgantown,West Virginia,60% to 69%,Average,Public,National Universities
288,288,288,-,Marshall  University,Huntington,West Virginia,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,University of Charleston,Charleston,West Virginia,50% to 59%,Below Average,Private,National Universities
58,42,50,-,University of Wisconsin--Madison,Madison,Wisconsin,90% to 99%,Excellent,Public,National Universities
,,46,8,Milwaukee School of Engineering,Milwaukee,Wisconsin,80% to 89%,Very Good,Private,Regional Universities
83,83,83,-,Marquette University,Milwaukee,Wisconsin,80% to 89%,Very Good,Private,National Universities
,,115,31,Carroll University,Waukesha,Wisconsin,70% to 79%,Good,Private,Regional Universities
,,141,37,University of Wisconsin--La Crosse,La Crosse,Wisconsin,70% to 79%,Good,Public,Regional Universities
,,153,41,University of Wisconsin--Eau Claire,Eau Claire,Wisconsin,70% to 79%,Good,Public,Regional Universities
,,172,49,University of Wisconsin--Whitewater,Whitewater,Wisconsin,70% to 79%,Good,Public,Regional Universities
,,178,51,Mount Mary University,Milwaukee,Wisconsin,60% to 69%,Average,Private,Regional Universities
,,210,61,Viterbo University,La Crosse,Wisconsin,60% to 69%,Average,Private,Regional Universities
,,222,64,University of Wisconsin--Stevens Point,Stevens  Point,Wisconsin,60% to 69%,Average,Public,Regional Universities
,,229,69,Alverno College,Milwaukee,Wisconsin,60% to 69%,Average,Private,Regional Universities
,,239,69,University of Wisconsin--Stout,Menomonie,Wisconsin,60% to 69%,Average,Public,Regional Universities
239,239,239,-,Edgewood College,Madison,Wisconsin,60% to 69%,Average,Private,National Universities
277,277,277,-,Concordia  University Wisconsin,Mequon,Wisconsin,60% to 69%,Average,Private,National Universities
,,281,82,University of Wisconsin--Platteville,Platteville,Wisconsin,60% to 69%,Average,Public,Regional Universities
,,320,95,University of Wisconsin--River Falls,River Falls,Wisconsin,60% to 69%,Average,Public,Regional Universities
,,330,101,University of Wisconsin--Oshkosh,Oshkosh,Wisconsin,50% to 59%,Below Average,Public,Regional Universities
,,337,104,University of Wisconsin--Green Bay,Green Bay,Wisconsin,50% to 59%,Below Average,Public,Regional Universities
,,361,112,Marian University (WI),Fond du Lac,Wisconsin,50% to 59%,Below Average,Private,Regional Universities
299-391,299-391,299-391,-,University of Wisconsin--Milwaukee,Milwaukee,Wisconsin,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Cardinal  Stritch University,Milwaukee,Wisconsin,50% to 59%,Below Average,Private,National Universities
,,,119-157,Herzing  University,Madison,Wisconsin,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Holy Family College,Manitowoc,Wisconsin,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Lakeland University,Plymouth,Wisconsin,50% to 59%,Below Average,Private,Regional Universities
196,196,196,-,University of Wyoming,Laramie,Wyoming,60% to 69%,Average,Public,National Universities
